iter	Passed	Remaining
0	0	183
1	0	152
2	0	135
3	0	126
4	1	119
5	1	116
6	1	113
7	1	110
8	1	108
9	1	106
10	2	104
11	2	103
12	2	101
13	2	100
14	2	99
15	2	99
16	3	99
17	3	100
18	3	101
19	3	103
20	4	105
21	4	106
22	4	109
23	4	110
24	5	109
25	5	108
26	5	108
27	5	107
28	5	106
29	5	105
30	6	104
31	6	105
32	6	105
33	6	104
34	6	104
35	6	103
36	7	102
37	7	102
38	7	101
39	7	101
40	7	100
41	7	100
42	8	99
43	8	99
44	8	98
45	8	98
46	8	98
47	9	98
48	9	99
49	9	99
50	9	100
51	10	101
52	10	101
53	10	101
54	10	101
55	10	100
56	11	100
57	11	99
58	11	99
59	11	98
60	11	98
61	11	97
62	12	97
63	12	96
64	12	96
65	12	96
66	12	95
67	12	95
68	13	95
69	13	94
70	13	94
71	13	93
72	13	93
73	13	93
74	14	92
75	14	92
76	14	92
77	14	93
78	15	93
79	15	94
80	15	94
81	15	94
82	15	94
83	16	93
84	16	93
85	16	93
86	16	92
87	16	92
88	17	92
89	17	91
90	17	91
91	17	91
92	17	90
93	17	90
94	18	90
95	18	89
96	18	89
97	18	89
98	18	89
99	18	89
100	19	88
101	19	88
102	19	88
103	19	88
104	19	87
105	20	87
106	20	88
107	20	88
108	20	88
109	21	88
110	21	88
111	21	88
112	21	87
113	21	87
114	21	87
115	22	86
116	22	86
117	22	86
118	22	85
119	22	85
120	22	85
121	23	85
122	23	84
123	23	84
124	23	84
125	23	83
126	23	83
127	24	83
128	24	83
129	24	82
130	24	82
131	24	82
132	24	82
133	25	81
134	25	81
135	25	81
136	25	81
137	26	82
138	26	81
139	26	81
140	26	81
141	26	81
142	27	81
143	27	80
144	27	80
145	27	80
146	27	80
147	27	79
148	28	79
149	28	79
150	28	79
151	28	78
152	28	78
153	28	78
154	29	78
155	29	77
156	29	77
157	29	77
158	29	76
159	29	76
160	30	76
161	30	76
162	30	76
163	30	75
164	30	75
165	31	76
166	31	76
167	31	76
168	32	76
169	32	76
170	32	76
171	32	75
172	32	75
173	33	75
174	33	75
175	33	74
176	33	74
177	33	74
178	33	74
179	34	73
180	34	73
181	34	73
182	34	73
183	34	72
184	34	72
185	34	72
186	35	72
187	35	71
188	35	71
189	35	71
190	35	71
191	36	71
192	36	70
193	36	71
194	36	70
195	37	70
196	37	70
197	37	70
198	37	70
199	37	70
200	38	70
201	38	70
202	38	69
203	38	69
204	38	69
205	38	69
206	39	68
207	39	68
208	39	68
209	39	68
210	39	67
211	39	67
212	40	67
213	40	67
214	40	67
215	40	66
216	40	66
217	40	66
218	41	66
219	41	65
220	41	65
221	41	65
222	41	65
223	42	65
224	42	65
225	42	65
